nurse_id,name,2026-04-01(수),2026-04-02(목),2026-04-03(금),2026-04-04(토),2026-04-05(일),2026-04-06(월),2026-04-07(화),2026-04-08(수),2026-04-09(목),2026-04-10(금),2026-04-11(토),2026-04-12(일),2026-04-13(월),2026-04-14(화),2026-04-15(수),2026-04-16(목),2026-04-17(금),2026-04-18(토),2026-04-19(일),2026-04-20(월),2026-04-21(화),2026-04-22(수),2026-04-23(목),2026-04-24(금),2026-04-25(토),2026-04-26(일),2026-04-27(월),2026-04-28(화),2026-04-29(수),2026-04-30(목),count_D,count_E,count_N,count_P,count_O
N001,김하린,D (3 CENTER),D (3 CENTER),D (3 CENTER),O (3 CENTER),O (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),O (3 CENTER),O (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),O (3 CENTER),O (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),O (3 CENTER),O (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),D (3 CENTER),22,0,0,0,8
N002,이서윤,E (3 CENTER),E (3 CENTER),E (3 CENTER),O (3 CENTER),O (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),O (3 CENTER),O (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),O (3 CENTER),O (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),O (3 CENTER),O (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),E (3 CENTER),0,22,0,0,8
N003,박지우,P (3 A),O (3 A),E (3 A),E (3 A),P (3 A),N (3 A),N (3 A),O (3 A),O (3 A),P (3 A),P (3 A),N (3 A),N (3 A),O (3 A),O (3 A),D (3 A),E (3 A),O (3 A),E (3 A),P (3 A),O (3 A),D (3 A),E (3 A),O (3 A),O (3 A),P (3 A),D (3 A),P (3 A),O (3 A),D (3 A),4,5,4,7,10
N004,최도윤,E (3 A),N (3 A),N (3 A),O (3 A),O (3 A),D (3 A),P (3 A),D (3 A),O (3 A),O (3 A),D (3 A),D (3 A),O (3 A),P (3 A),D (3 A),N (3 A),N (3 A),O (3 A),O (3 A),E (3 A),E (3 A),P (3 A),O (3 A),E (3 A),P (3 A),O (3 A),O (3 A),O (3 A),P (3 A),N (3 A),5,4,5,5,11
N005,정하윤,D (1 A),D (1 A),D (1 A),O (1 A),D (1 A),D (1 A),D (1 A),O (1 A),E (1 A),N (1 A),N (1 A),O (1 A),O (1 A),E (1 A),E (1 A),E (1 A),O (1 A),N (1 A),N (1 A),N (1 A),O (1 A),O (1 A),O (1 A),O (1 A),E (1 A),N (1 A),N (1 A),O (1 A),O (1 A),E (1 A),6,6,7,0,11
N006,조시우,N (2 A),O (2 A),O (2 A),O (2 A),E (2 A),E (2 A),E (2 A),N (2 A),N (2 A),O (2 A),O (2 A),O (2 A),D (2 A),D (2 A),D (2 A),O (2 A),D (2 A),E (2 A),O (2 A),O (2 A),D (2 A),D (2 A),D (2 A),D (2 A),O (2 A),D (2 A),D (2 A),N (2 A),N (2 A),O (2 A),10,4,5,0,11
N007,윤서아,D (2 A),E (2 A),O (2 A),N (2 A),N (2 A),O (2 A),O (2 A),D (2 A),D (2 A),D (2 A),O (2 A),E (2 A),E (2 A),O (2 A),O (2 A),D (2 A),D (2 A),O (2 A),O (2 A),O (2 A),D (2 A),E (2 A),N (2 A),N (2 A),N (2 A),O (2 A),O (2 A),D (2 A),D (2 A),D (2 A),10,4,5,0,11
N008,한민재,O (3 B),E (3 B),N (3 B),N (3 B),N (3 B),O (3 B),O (3 B),D (3 B),D (3 B),N (3 B),N (3 B),O (3 B),O (3 B),N (3 B),N (3 B),O (3 B),O (3 B),E (3 B),P (3 B),D (3 B),O (3 B),O (3 B),D (3 B),D (3 B),D (3 B),D (3 B),O (3 B),O (3 B),D (3 B),D (3 B),9,2,7,1,11
N009,오유진,O (3 B),O (3 B),D (3 B),D (3 B),D (3 B),D (3 B),E (3 B),O (3 B),P (3 B),D (3 B),E (3 B),N (3 B),N (3 B),O (3 B),O (3 B),E (3 B),E (3 B),N (3 B),N (3 B),N (3 B),O (3 B),O (3 B),O (3 B),N (3 B),N (3 B),O (3 B),O (3 B),D (3 B),E (3 B),E (3 B),6,6,7,1,10
N010,서지호,N (1 B),N (1 B),O (1 B),O (1 B),O (1 B),N (1 B),N (1 B),O (1 B),O (1 B),O (1 B),D (1 B),D (1 B),D (1 B),D (1 B),O (1 B),D (1 B),D (1 B),D (1 B),D (1 B),O (1 B),E (1 B),E (1 B),E (1 B),E (1 B),O (1 B),E (1 B),E (1 B),E (1 B),O (1 B),O (1 B),8,7,4,0,11
